"Class_Id","Class_Name","Class_FullName","Class_FID","Class_parentID","Class_Dept","Class_State","Class_Postcode","Class_Type","Class_Node","Coordinates","Class_ShortName","Class_MapCode"
"1","地域分类","地域分类",,"0","0","1",,"0","0","0","地域分类",
"2","北京市","北京市","2","0","3","1",,"1","1","116.46,39.92","北京","110000"
"3","天津市","天津市","3","0","3","1",,"1","1","117.2,39.13","天津","120000"
"4","河北省","河北省","4","0","3","1",,"2","1","115.661434,38.61384","河北","130000"
"5","山西省","山西省","5","0","3","1",,"2","1","112.515496,37.866566","山西","140000"
"6","内蒙古自治区","内蒙古自治区","6","0","3","1",,"3","1","114.415868,43.468238","内蒙古","150000"
"7","辽宁省","辽宁省","7","0","3","1",,"2","1","122.753592,41.6216","辽宁","210000"
"8","吉林省","吉林省","8","0","3","1",,"2","1","126.262876,43.678846","吉林","220000"
"9","黑龙江省","黑龙江省","9","0","3","1",,"2","1","128.047414,47.356592","黑龙江","230000"
"10","上海市","上海市","10","0","3","1",,"1","1","121.48,31.22","上海","310000"
"11","江苏省","江苏省","11","0","3","1",,"2","1","119.368489,33.013797","江苏","320000"
"12","浙江省","浙江省","12","0","3","1",,"2","1","119.957202,29.159494","浙江","330000"
"13","安徽省","安徽省","13","0","3","1",,"2","1","117.216005,31.859252","安徽","340000"
"14","福建省","福建省","14","0","3","1",,"2","1","117.984943,26.050118","福建","350000"
"15","江西省","江西省","15","0","3","1",,"2","1","115.676082,27.757258","江西","360000"
"16","山东省","山东省","16","0","3","1",,"2","1","118.527663,36.09929","山东","370000"
"17","河南省","河南省","17","0","3","1",,"2","1","113.486804,34.157184","河南","410000"
"18","湖北省","湖北省","18","0","3","1",,"2","1","112.410562,31.209316","湖北","420000"
"19","湖南省","湖南省","19","0","3","1",,"2","1","111.720664,27.695864","湖南","430000"
"20","广东省","广东省","20","0","3","1",,"2","1","113.394818,23.408004","广东","440000"
"21","广西壮族自治区","广西壮族自治区","21","0","3","1",,"3","1","108.924274,23.552255","广西","450000"
"22","海南省","海南省","22","0","3","1",,"2","1","109.733755,19.180501","海南","460000"
"23","重庆市","重庆市","23","0","3","1",,"1","1","106.54,29.59","重庆","500000"
"24","四川省","四川省","24","0","3","1",,"2","1","102.89916,30.367481","四川","510000"
"25","贵州省","贵州省","25","0","3","1",,"2","1","106.734996,26.902826","贵州","520000"
"26","云南省","云南省","26","0","3","1",,"2","1","101.592952,24.864213","云南","530000"
"27","西藏自治区","西藏自治区","27","0","3","1",,"3","1","89.137982,31.367315","西藏","540000"
"28","陕西省","陕西省","28","0","3","1",,"2","1","109.503789,35.860026","陕西","610000"
"29","甘肃省","甘肃省","29","0","3","1",,"2","1","102.457625,38.103267","甘肃","620000"
"30","青海省","青海省","30","0","3","1",,"2","1","96.202544,35.499761","青海","630000"
"31","宁夏回族自治区","宁夏回族自治区","31","0","3","1",,"3","1","106.155481,37.321323","宁夏","640000"
"32","新疆维吾尔自治区","新疆维吾尔自治区","32","0","3","1",,"3","1","85.614899,42.127001","新疆","650000"
"33","香港特别行政区","香港特别行政区","33","0","3","1",,"4","1","114.186124,22.293586","香港","810000"
"34","澳门特别行政区","澳门特别行政区","34","0","3","1",,"4","1","113.557519,22.204118","澳门","820000"
"35","台湾省","台湾省","35","0","3","1",,"4","1",,"台湾","710000"
"38","石家庄市","河北省石家庄市","4,38","4","2","1","050000","2","1","114.48,38.03","石家庄市","130100"
"39","唐山市","河北省唐山市","4,39","4","2","1","063000","2","1","118.02,39.63","唐山市","130200"
