事件guid,规则名称,描述,预警时间,状态,级别
2feffaac4fc84d60908aac090c1727ae,疑似共同食品聚集,食品名称：炒腐竹;加工及包装方式：餐饮服务业,2019/10/25 12:14,已排除,医院级
42cf5971f0934a55804fc730e935b622,疑似共同食品聚集,食品名称：炒辣子鸡;加工及包装方式：餐饮服务业,2019/11/28 12:15,已排除,医院级
5aba1d2391e2402c8f79844851a73f7d,疑似共同食品聚集,食品名称：拌凉皮;加工及包装方式：餐饮服务业,2019/9/11 1:10,已排除,医院级
f8f26f2863ba4d3daa189d9fdfa10046,疑似共同食品聚集,食品品牌：燕京啤酒;食品名称：啤酒;加工及包装方式：预包装,2019/8/23 12:10,已排除,医院级
54839a3ccd3d4c6295834cb6959eb635,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：河北省廊坊市安次区饭店,2019/8/28 12:08,已排除,医院级
75c79defab6f4f13b1f71d853aa9f04e,疑似共同食品聚集,食品名称：中餐;加工及包装方式：餐饮服务业,2019/8/3 12:05,已排除,医院级
82435b24b9e44ca4921975899f2f52d2,疑似共同食品聚集,食品名称：凉皮;加工及包装方式：餐饮服务业,2019/8/3 12:05,已排除,医院级
1104dff0418b4a0dbc6befcf9827acf8,疑似共同食品聚集,食品名称：麻辣烫;加工及包装方式：餐饮服务业,2019/8/27 12:10,已排除,医院级
237f0b164d1a46b29507ef2bc304f8ae,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/8/8 12:06,已排除,医院级
cda61d0d323d45fe8052b48a76289e75,疑似共同地点聚集,进食场所：单位食堂;详细进食地点：吉林省白城市洮北区工业园区消防大队,2019/9/10 12:10,已确定,医院级
ce301d97a9944ec48d927a251772b915,疑似共同食品聚集,食品名称：麻辣烫;加工及包装方式：餐饮服务业,2019/8/2 12:05,已排除,医院级
a10814aafb89428498127b4ce1e1b900,疑似共同食品聚集,食品名称：凉皮;加工及包装方式：餐饮服务业,2019/8/26 12:10,已排除,区县级
b3af39ec3ac5469da50b8385f9227857,疑似共同食品聚集,食品名称：螃蟹;加工及包装方式：餐饮服务业,2019/8/12 12:09,已排除,医院级
ccc63827e3644e65b8b5815f5e9096a4,疑似共同食品聚集,食品名称：海蛎子;加工及包装方式：餐饮服务业,2019/8/7 12:05,已排除,医院级
d774cc014f9b4a458d4a8a33a694cd77,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：山东省青岛市市南区维多利亚路内侧海鲜大排档,2019/9/6 12:10,已确定,医院级
ebb784c557b64a04ae4be7688048d076,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省青岛市市南区妈妈菜青岛十佳特色店,2019/8/22 12:09,已确定,医院级
47a2bc1dbd794e31bb05271861bb468f,疑似共同食品聚集,食品名称：虾;加工及包装方式：餐饮服务业,2019/8/7 12:06,已排除,医院级
4aa206b185ac4562ab35024ba3067eef,疑似共同地点聚集,进食场所：其他;详细进食地点：山东省青岛市市南区火车站,2019/8/31 1:10,已排除,医院级
3346195cfd2c42b6bb2a59ee7163da6f,疑似共同食品聚集,食品名称：海鲜;加工及包装方式：餐饮服务业,2019/8/4 1:05,已排除,医院级
76a960b56133446cb7bf1dcffd441ca0,疑似共同食品聚集,食品名称：水饺;加工及包装方式：餐饮服务业,2019/8/18 12:09,已排除,医院级
77d285b94d074f9083649209a3700d83,疑似共同食品聚集,食品名称：海鲜;加工及包装方式：餐饮服务业,2019/9/6 12:10,已确定,医院级
8fb8a5453b8343e6a6905c3d6c95cb1a,疑似共同食品聚集,食品名称：面条;加工及包装方式：餐饮服务业,2019/8/5 1:04,已排除,医院级
65493347d7134a04a74ec255d3247dfe,疑似共同食品聚集,食品品牌：崂山;食品名称：啤酒（冷藏）;加工及包装方式：预包装,2019/8/10 1:09,已排除,医院级
210885b9e6af43c08d5208403a95264e,疑似共同食品聚集,食品名称：麻辣烫;加工及包装方式：餐饮服务业,2019/12/10 12:17,已排除,地市级
d8d39bd0e83e475f839ef2050f18c8b1,疑似共同食品聚集,食品名称：米粉;加工及包装方式：餐饮服务业,2019/11/11 12:14,已排除,地市级
e20cf73600e440dc9eaeb722871fcdf1,疑似共同食品聚集,食品名称：麻辣烫;加工及包装方式：餐饮服务业,2019/12/20 16:18,已排除,地市级
792d2684eb3340099d4d38d9f46c08d2,疑似共同食品聚集,食品品牌：娃哈哈;食品名称：营养快线;加工及包装方式：预包装,2019/9/12 1:10,已排除,医院级
93416839f9b944688a681f118a0f25b4,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：四川省绵阳市游仙区森林雨火锅,2019/11/13 1:14,已排除,医院级
3f468177c8ce4bdbabffbd73936ae59a,疑似共同食品聚集,食品名称：火锅（鸭肠、牛肉、鳕鱼、藕、土豆、粉条）;加工及包装方式：餐饮服务业,2019/11/13 1:14,已排除,医院级
366bc05929ed46d594604656432d577b,疑似共同食品聚集,食品名称：汉堡包;加工及包装方式：餐饮服务业,2019/8/5 1:04,已排除,医院级
15c445605be34005934d94bf2943e58e,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：安徽省宣城市广德县桃州镇姐妹饭店,2019/8/10 12:08,已排除,医院级
1725f0814b8f4e35a7cd41570f7336eb,疑似共同食品聚集,食品名称：蛋炒饭;加工及包装方式：餐饮服务业,2019/8/1 16:06,已排除,医院级
11d30845c7654e7d875e4d5a6bfa892c,疑似共同食品聚集,食品名称：牛肉;加工及包装方式：餐饮服务业,2019/9/16 12:11,已排除,医院级
0c13735b6aa24791baabaa1cea8844df,疑似共同地点聚集,进食场所：食品店;详细进食地点：安徽省宣城市广德县桃州镇沙县小吃,2019/7/4 3:00,已排除,医院级
938925e4209848d2a7696b4d19e42341,疑似共同食品聚集,食品名称：花甲;加工及包装方式：餐饮服务业,2019/8/9 16:11,已排除,医院级
81bef5367a1c4180a270b1462d9ab64d,疑似共同食品聚集,食品名称：麻辣烫;加工及包装方式：餐饮服务业,2019/8/26 16:11,已排除,医院级
61d0a70e97f5478c95b5a4de90650468,疑似共同食品聚集,食品名称：炒面;加工及包装方式：餐饮服务业,2019/9/20 16:13,已排除,医院级
e463f0cf8d054a37b82f605d601017a3,疑似共同食品聚集,食品名称：海鲜;加工及包装方式：餐饮服务业,2019/8/9 12:09,已排除,医院级
cd3230c799274114805e019b50b78c7b,疑似共同食品聚集,食品名称：羊肉串;加工及包装方式：餐饮服务业,2019/7/29 12:18,已排除,医院级
b5234a9aea3642e4bfc7f3d34960f45c,疑似共同食品聚集,食品名称：火锅;加工及包装方式：餐饮服务业,2019/9/4 12:11,已排除,医院级
08be3dacc3734328a4411b4e16045240,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：内蒙古自治区锡林郭勒盟苏尼特右旗特尼乐蒙餐,2019/9/27 12:11,已排除,医院级
5540a9bb22014837927f8d738db5694f,疑似共同食品聚集,食品名称：烤鱼;加工及包装方式：餐饮服务业,2019/8/31 1:10,已排除,医院级
af3968e56d844ff0b534e1c0f70859ed,疑似共同食品聚集,食品名称：凉皮;加工及包装方式：餐饮服务业,2019/8/31 1:10,已排除,医院级
a215574c18794162bf2de86de5faca91,疑似共同地点聚集,进食场所：街头食品;详细进食地点：河南省兰考县城关镇西街街头,2019/9/12 1:10,已排除,医院级
db75cbb08d7e40559d8f522c5a736af6,疑似共同食品聚集,食品名称：水煮海虾;加工及包装方式：餐饮服务业,2019/7/23 0:09,已确定,医院级
f90e67df975e46a39c791411cd61c5bb,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省济宁市任城区喻屯镇兴福集饭店,2019/7/22 19:46,已确定,医院级
0149d1f066df4b568b8aef1f6113e468,疑似共同食品聚集,食品名称：凉拌黄花菜;加工及包装方式：餐饮服务业,2019/7/23 0:09,已确定,医院级
3795c3627f124162a34144ba42521508,疑似共同食品聚集,食品品牌：康师傅;食品名称：冰镇矿泉水;加工及包装方式：预包装,2019/7/31 16:06,已确定,医院级
33c7f023d5524fb196b81f22778ce0a6,疑似共同地点聚集,进食场所：学校食堂;详细进食地点：山东省济宁市任城区观音阁街道办事处后营居委后营爱之翼幼儿园,2019/8/10 1:08,已确定,医院级
3a4ef01d3cd04f1bb593f4d642a90665,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省威海市环翠区羊亭饭店,2019/8/6 12:05,已排除,医院级
4c82dce01fb4418c866bb7f583dda2a8,疑似共同地点聚集,进食场所：单位食堂;详细进食地点：山东省威海市环翠区威海海王旋流器有限公司单位食堂,2019/8/9 12:07,已确定,医院级
0250fec69c7e4984829ede2534e8d4c2,疑似共同食品聚集,食品名称：土豆炖芸豆;加工及包装方式：餐饮服务业,2019/10/9 12:12,已排除,医院级
15a895732ffe46aa83aa512c594e0663,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：山东省威海市环翠区羊亭镇大西庄村,2019/8/15 16:09,已排除,医院级
14da6a8b4e104d6680efe6ba0c01f693,疑似共同地点聚集,进食场所：单位食堂;详细进食地点：山东省威海市环翠区羊亭中建五局食堂,2019/10/9 12:11,已排除,医院级
fadeaa0b720b448e956d2ad72f910683,疑似共同食品聚集,食品名称：肉末粉条;加工及包装方式：餐饮服务业,2019/8/9 12:09,已排除,医院级
f118020ef31c413ba7feeac81ffbbf7f,疑似共同食品聚集,食品名称：蒸鲅鱼;加工及包装方式：餐饮服务业,2019/8/9 12:09,已排除,医院级
c3f333ab656a47c19ba7bb5706a6ecfa,疑似共同地点聚集,进食场所：单位食堂;详细进食地点：山东省威海市环翠区羊亭镇羊亭村,2019/9/16 12:11,已排除,医院级
9d6ff18d3b564dd78e4fd0fa708daf95,疑似共同食品聚集,食品名称：凉拌豆腐皮;加工及包装方式：餐饮服务业,2019/8/9 12:09,已排除,医院级
9ef42aeed0014a66b7fc19ae0d9e7d29,疑似共同食品聚集,食品品牌：雪花啤酒;食品名称：冰啤酒;加工及包装方式：预包装,2019/8/11 12:09,已排除,医院级
ab30954c718842ae9bfdf2d6384b1ac4,疑似共同食品聚集,食品名称：炒菜豆;加工及包装方式：餐饮服务业,2019/8/9 12:09,已排除,医院级
ad356ebb62d544d9987888691f1b3be4,疑似共同食品聚集,食品名称：凉拌猪肝;加工及包装方式：餐饮服务业,2019/8/9 12:09,已排除,医院级
b1836cde2d61442592679f5b89e35cd4,疑似共同食品聚集,食品名称：凉拌豆皮;加工及包装方式：餐饮服务业,2019/8/9 12:09,已排除,医院级
b8b8864e7f7e44099fbaa409f25f4d73,疑似共同食品聚集,食品名称：烤虾;加工及包装方式：餐饮服务业,2019/8/6 12:05,已排除,医院级
bb86a0e20b824524b10e58e4e5fb2612,疑似共同地点聚集,进食场所：单位食堂;详细进食地点：山东省威海市环翠区羊亭镇港头村,2019/9/23 12:11,已排除,医院级
654c1b82e4c14ee9a335d65cc0c45cfb,疑似共同地点聚集,进食场所：农村宴席;详细进食地点：四川省雅安市名山县车岭镇,2019/8/21 12:08,已确定,医院级
847295b347f34ac290a56737facf9c2b,疑似共同食品聚集,食品品牌：雪兰;食品名称：酸奶;加工及包装方式：预包装,2019/12/13 1:16,已排除,医院级
7ac7f0ff9a9b4a43a0a05ab936ffa99a,疑似共同食品聚集,食品名称：烤鸡翅;加工及包装方式：餐饮服务业,2019/12/14 16:16,已排除,医院级
2dd525c4279e46f087e01913210b222c,疑似共同食品聚集,食品名称：薯条;加工及包装方式：餐饮服务业,2019/12/15 16:16,已排除,医院级
a6ccae7fe66e482593c1dd7a2da11ff6,疑似共同食品聚集,食品名称：烤肉;加工及包装方式：餐饮服务业,2019/12/12 12:16,已排除,医院级
9abd87f88b8042ceadb4177cca482029,疑似共同地点聚集,进食场所：其他;详细进食地点：广西壮族自治区玉林市玉州区桂南医院病房,2019/10/12 12:11,已排除,医院级
350c6092df1141688856bb56242205d3,疑似共同食品聚集,食品品牌：蒙牛;食品名称：牛奶;加工及包装方式：预包装,2019/9/29 12:11,已排除,医院级
05c7be1fcacc417d99507946f3b2f2d1,疑似共同食品聚集,食品品牌：伊利;食品名称：伊利谷粒多;加工及包装方式：预包装,2019/9/27 12:11,已排除,医院级
175994f6176447a1ac110a22e711bc17,疑似共同食品聚集,食品品牌：青岛啤酒;食品名称：冰镇啤酒;加工及包装方式：预包装,2019/6/30 18:12,已排除,医院级
1924be2ff35a4821ab2161e4a1871a44,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：河南省固始县黎集镇街道,2019/10/18 12:13,已排除,医院级
17e84a5ce38e44d290c6a9827dd62d04,疑似共同食品聚集,食品名称：烧仙草;加工及包装方式：餐饮服务业,2019/9/17 12:11,已排除,医院级
1f4d83bfb11b44e593cda3ec2c3b8278,疑似共同地点聚集,进食场所：街头食品;详细进食地点：福建省漳州市漳浦县绥安镇麦市街,2019/9/17 12:11,已排除,医院级
cf5ad2f2a77c46aea0f8a1b812810405,疑似共同食品聚集,食品品牌：伊利牌纯牛奶;食品名称：纯牛奶;加工及包装方式：预包装,2019/11/30 12:15,已排除,医院级
d754d00d0fcb4001b5689239bfbf1b5d,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：北京市海淀区郭林家常菜馆,2019/7/24 0:07,已确定,区县级
5e85285464b949418f0c41d87ad1ca66,疑似共同食品聚集,食品名称：炸鸡块;加工及包装方式：餐饮服务业,2019/7/26 14:06,已确定,区县级
4874a9dc31af415b81c91e554cd7fb74,疑似共同地点聚集,进食场所：单位食堂;详细进食地点：贵州省遵义市遵义县尚嵇镇遵义丽阳祥包装有限公司,2019/9/4 12:09,已确定,医院级
cd011645f09446b5b431d52b6d49740f,疑似共同地点聚集,进食场所：街头食品;详细进食地点：山东省德州市禹城市夜市,2019/7/6 3:15,已排除,医院级
a7badb1da1544ed0affc41c4dd8d134b,疑似共同食品聚集,食品品牌：伊利;食品名称：雪糕;加工及包装方式：预包装,2019/6/30 18:12,已排除,医院级
d7f174a88b174ad0b8326cfaa2695210,疑似共同食品聚集,食品名称：羊肉;加工及包装方式：餐饮服务业,2019/10/22 12:14,已排除,医院级
f20118a34a4e487e85bb156965c6d827,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：河南省焦作市沁阳市张东升杂碎店,2019/10/22 16:13,已排除,医院级
3c471d2f35184f9ab716682d7d17fd4e,疑似共同地点聚集,进食场所：街头食品;详细进食地点：河南省焦作市沁阳市广酒十字口路边摊,2019/10/22 16:13,已排除,医院级
34939c9833634ad3bda28b386da2b31a,疑似共同食品聚集,食品名称：胡辣汤;加工及包装方式：餐饮服务业,2019/10/22 16:16,已排除,医院级
20b1778b2e2b4e749bbd4e8f55ccdcbd,疑似共同食品聚集,食品名称：牛肉;加工及包装方式：餐饮服务业,2019/10/22 16:15,已排除,医院级
0e03d22a8bb14de58fbd06bc20b41852,疑似共同地点聚集,进食场所：餐饮业-其他;详细进食地点：河南省新乡市红旗区西大街13号,2019/9/30 12:12,已排除,医院级
24de749ab70d413dac0ab4136a3621cb,疑似共同食品聚集,食品品牌：阿萨姆奶茶;食品名称：奶茶;加工及包装方式：预包装,2019/7/30 12:04,已排除,医院级
1df84dd5edd241cbbe2ca7ffc4bbc80c,疑似共同食品聚集,食品名称：炒木耳;加工及包装方式：餐饮服务业,2019/8/21 1:09,已排除,医院级
1bb10d45ec6c49dfba9871cbfef1faa9,疑似共同食品聚集,食品名称：排骨;加工及包装方式：餐饮服务业,2019/8/21 1:09,已排除,医院级
2b747c7ebd304e1b81198a4d37417284,疑似共同食品聚集,食品名称：肘子;加工及包装方式：餐饮服务业,2019/8/20 12:10,已排除,医院级
3e09082a14094fdd86ddceda1ed2ebc0,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：河北省邯郸市成安县天源饭店,2019/8/21 1:08,已排除,医院级
5b73ad54ed8f477f8f23510d39cb723b,疑似共同食品聚集,食品名称：鸡肉;加工及包装方式：餐饮服务业,2019/8/21 1:09,已排除,医院级
5d217f13f99345d4a0bdd6085b2e7366,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：河北省邯郸市成安县中天饭店,2019/8/21 1:08,已排除,医院级
7742f55fc99444b5b07623ab578f03c7,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：河北省邯郸市成安县天缘饭店,2019/8/20 12:09,已排除,医院级
80f58808701f4068987b7b82b9d89790,疑似共同地点聚集,进食场所：饭店（酒店）;详细进食地点：河北省邯郸市成安县中天酒店,2019/8/21 1:08,已排除,医院级
